,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALEDATE
1636,2.0,EAST TREMONT,09 COOPS - WALKUP APARTMENTS,3068.0,6.0,"1976 LAFONTAINE AVENUE, 1C",,10457.0,,,,,,1925.0,2.0,C6,"102,000",2020-05-05
1637,2.0,EAST TREMONT,09 COOPS - WALKUP APARTMENTS,3068.0,6.0,"1976 LAFONTAINE AVE., 2B",,10457.0,,,,,,1925.0,2.0,C6,"65,000",2020-03-17
1640,2.0,EAST TREMONT,09 COOPS - WALKUP APARTMENTS,3117.0,23.0,"2016 MARMION AVE., 4D",,10460.0,,,,,,1931.0,2.0,C6,"73,000",2020-05-28
1641,2.0,EAST TREMONT,09 COOPS - WALKUP APARTMENTS,3126.0,28.0,"950 EAST 178TH ST, 2",,10460.0,,,,,,1992.0,2.0,C6,"183,000",2020-03-05
1643,2.0,EAST TREMONT,10 COOPS - ELEVATOR APARTMENTS,3080.0,4.0,"2024 HUGHES AVE, 2D",,10457.0,,,,,,1912.0,2.0,D4,"79,000",2020-01-29
1644,2.0,EAST TREMONT,10 COOPS - ELEVATOR APARTMENTS,3095.0,7.0,"700 OAKLAND PLACE, 4D",,10457.0,,,,,,1931.0,2.0,D4,"71,000",2020-01-14
1645,2.0,EAST TREMONT,11 SPECIAL CONDO BILLING LOTS,2985.0,1002.0,"1926 CROTONA PARKWAY, RU",RU,10460.0,98.0,0.0,98.0,"18,766","98,608",2007.0,2.0,RR,"5,191,770",2020-05-20
1650,2.0,EAST TREMONT,14 RENTALS - 4-10 UNIT,3906.0,76.0,1138 EAST TREMONT AVENUE,,10460.0,4.0,3.0,7.0,"4,960","5,175",1930.0,2.0,S9,0,2020-02-21
1651,2.0,EAST TREMONT,22 STORE BUILDINGS,2950.0,59.0,720-724 EAST TREMONT AVENUE,,10457.0,0.0,2.0,2.0,"4,986","4,486",1931.0,4.0,K1,0,2020-06-26
1655,2.0,EAST TREMONT,22 STORE BUILDINGS,3906.0,75.0,1134 EAST TREMONT AVENUE,,10460.0,0.0,1.0,1.0,"2,361","1,300",1930.0,4.0,K1,0,2020-02-21
1656,2.0,EAST TREMONT,22 STORE BUILDINGS,4004.0,11.0,1121 EAST TREMONT AVENUE,,10460.0,0.0,2.0,2.0,"14,750","12,486",1988.0,4.0,K2,"700,000",2020-02-20
1657,2.0,EAST TREMONT,22 STORE BUILDINGS,4004.0,11.0,1111 EAST TREMONT AVENUE,,10460.0,0.0,2.0,2.0,"14,750","12,486",1988.0,4.0,K2,"735,897",2020-02-13
1664,2.0,EAST TREMONT,37 RELIGIOUS FACILITIES,3123.0,70.0,2067 HONEYWELL AVENUE,,10460.0,0.0,1.0,1.0,"4,073","2,400",1931.0,4.0,M9,"700,570",2020-02-11
1665,2.0,EAST TREMONT,38 ASYLUMS AND HOMES,3107.0,29.0,2001 MARMION AVENUE,,10460.0,35.0,1.0,36.0,"7,337","21,600",1920.0,4.0,N9,"7,511,000",2020-02-04
1666,2.0,EAST TREMONT,46 CONDO STORE BUILDINGS,2985.0,1001.0,"1926 CROTONA PARKWAY, CU",CU,10460.0,,1.0,1.0,,,2007.0,4.0,RK,"5,191,770",2020-05-20
1669,2.0,FIELDSTON,01 ONE FAMILY DWELLINGS,5809.0,517.0,4521 WALDO AVENUE,,10471.0,1.0,0.0,1.0,"11,239","4,597",1920.0,1.0,A3,0,2020-02-20
1674,2.0,FIELDSTON,01 ONE FAMILY DWELLINGS,5812.0,90.0,4485 FIELDSTON ROAD,,10471.0,1.0,0.0,1.0,"12,083","3,948",1930.0,1.0,A3,"3,250,000",2020-01-28
1675,2.0,FIELDSTON,01 ONE FAMILY DWELLINGS,5813.0,150.0,4541 DELAFIELD AVENUE,,10471.0,1.0,0.0,1.0,"6,745","2,502",1925.0,1.0,A1,"1,435,000",2020-05-05
1676,2.0,FIELDSTON,01 ONE FAMILY DWELLINGS,5816.0,1872.0,4669 TIBBETT AVENUE,,10471.0,1.0,0.0,1.0,"3,135","1,791",1925.0,1.0,A1,"1,068,000",2020-05-04
1677,2.0,FIELDSTON,01 ONE FAMILY DWELLINGS,5819.0,2120.0,417 WEST 246TH STREET,,10471.0,1.0,0.0,1.0,"15,968","4,894",1901.0,1.0,A3,0,2020-01-16
1678,2.0,FIELDSTON,01 ONE FAMILY DWELLINGS,5819.0,2170.0,4680 FIELDSTON ROAD,,10471.0,1.0,0.0,1.0,"22,220","7,088",1901.0,1.0,A7,0,2020-01-09
1679,2.0,FIELDSTON,01 ONE FAMILY DWELLINGS,5819.0,2300.0,4619 LIVINGSTON AVENUE,,10471.0,1.0,0.0,1.0,"7,821","2,178",1960.0,1.0,A3,0,2020-03-02
1680,2.0,FIELDSTON,01 ONE FAMILY DWELLINGS,5822.0,2685.0,4740 ISELIN AVENUE,,10471.0,1.0,0.0,1.0,"8,450","3,555",1920.0,1.0,A3,"1,512,500",2020-01-06
1685,2.0,FIELDSTON,01 ONE FAMILY DWELLINGS,5840.0,4143.0,390 WEST 253RD STREET,,10471.0,1.0,0.0,1.0,"25,080","2,672",1925.0,1.0,A4,"925,000",2020-06-04
1687,2.0,FIELDSTON,05 TAX CLASS 1 VACANT LAND,5819.0,2167.0,N/A FIELDSTON ROAD,,10471.0,0.0,0.0,0.0,"11,400",0,,1.0,V0,0,2020-01-09
1688,2.0,FIELDSTON,05 TAX CLASS 1 VACANT LAND,5819.0,2168.0,N/A FIELDSTON ROAD,,10471.0,0.0,0.0,0.0,"12,064",0,,1.0,V0,0,2020-01-09
1689,2.0,FIELDSTON,05 TAX CLASS 1 VACANT LAND,5819.0,2175.0,N/A FIELDSTON ROAD,,10471.0,0.0,0.0,0.0,"9,403",0,,1.0,V0,0,2020-01-09
1690,2.0,FIELDSTON,05 TAX CLASS 1 VACANT LAND,5835.0,3055.0,5278 POST ROAD,,10471.0,0.0,0.0,0.0,"5,000",0,,1.0,V0,0,2020-05-05
1691,2.0,FIELDSTON,05 TAX CLASS 1 VACANT LAND,5835.0,3060.0,N/A BROADWAY,,10471.0,0.0,0.0,0.0,"20,225",0,,1.0,V0,0,2020-05-05
1696,2.0,FIELDSTON,10 COOPS - ELEVATOR APARTMENTS,5826.0,1685.0,"255 FIELDSTON TERRACE, PS#28",,10471.0,,,,,,1965.0,2.0,D4,"28,826",2020-01-29
1698,2.0,FIELDSTON,10 COOPS - ELEVATOR APARTMENTS,5826.0,1685.0,"255 FIELDSTON TERRACE, PS#20",,10471.0,,,,,,1965.0,2.0,D4,"31,868",2020-01-30
1700,2.0,FIELDSTON,10 COOPS - ELEVATOR APARTMENTS,5826.0,1685.0,"255 FIELDSTON TERRACE, PS#1",,10471.0,,,,,,1965.0,2.0,D4,"31,868",2020-04-09
1701,2.0,FIELDSTON,10 COOPS - ELEVATOR APARTMENTS,5826.0,1685.0,"255 FIELDSTON TERRACE, PS#22",,10471.0,,,,,,1965.0,2.0,D4,"29,840",2020-01-17
1702,2.0,FIELDSTON,10 COOPS - ELEVATOR APARTMENTS,5826.0,1685.0,"255 FIELDSTON TERRACE, 5K",,10471.0,,,,,,1965.0,2.0,D4,"258,555",2020-02-12
1703,2.0,FIELDSTON,10 COOPS - ELEVATOR APARTMENTS,5826.0,1685.0,"255 FIELDSTON TERRACE, PS#4",,10471.0,,,,,,1965.0,2.0,D4,"31,868",2020-01-14
1704,2.0,FIELDSTON,10 COOPS - ELEVATOR APARTMENTS,5826.0,1685.0,"255 FIELDSTON TERRACE,, 2B",,10471.0,,,,,,1965.0,2.0,D4,"220,969",2020-01-30
1706,2.0,FIELDSTON,10 COOPS - ELEVATOR APARTMENTS,5826.0,1685.0,"255 FIELDSTON TERRACE, 3C",,10471.0,,,,,,1965.0,2.0,D4,"399,000",2020-02-04
1709,2.0,FIELDSTON,10 COOPS - ELEVATOR APARTMENTS,5826.0,1685.0,"255 FIELDSTON TERRACE, 3A",,10471.0,,,,,,1965.0,2.0,D4,"193,000",2020-02-07
1715,2.0,FORDHAM,01 ONE FAMILY DWELLINGS,3145.0,43.0,2237 TIEBOUT,,10457.0,1.0,0.0,1.0,"1,138","1,384",1901.0,1.0,A9,"475,000",2020-01-24
1717,2.0,FORDHAM,01 ONE FAMILY DWELLINGS,3275.0,16.0,2558 MARION AVENUE,,10458.0,1.0,1.0,2.0,"4,900","3,210",1931.0,1.0,S1,"600,000",2020-04-22
1719,2.0,FORDHAM,02 TWO FAMILY DWELLINGS,3023.0,70.0,2478 ELM PLACE,,10458.0,2.0,0.0,2.0,"1,950","1,876",1920.0,1.0,B3,"710,000",2020-03-31
1720,2.0,FORDHAM,02 TWO FAMILY DWELLINGS,3023.0,90.0,2483 ELM PLACE,,10458.0,2.0,0.0,2.0,"2,763","3,594",1910.0,1.0,B2,100,2020-02-18
1723,2.0,FORDHAM,02 TWO FAMILY DWELLINGS,3145.0,9.0,2232 VALENTINE AVENUE,,10457.0,2.0,0.0,2.0,"1,819","2,500",1931.0,1.0,B1,0,2020-01-10
1724,2.0,FORDHAM,02 TWO FAMILY DWELLINGS,3146.0,49.0,300 EAST 184 STREET,,10458.0,2.0,0.0,2.0,"2,885","2,280",1992.0,1.0,B1,"638,600",2020-02-06
1726,2.0,FORDHAM,02 TWO FAMILY DWELLINGS,3149.0,73.0,2080 RYER AVENUE,,10457.0,2.0,0.0,2.0,"2,638","2,696",1901.0,1.0,B2,0,2020-02-06
1728,2.0,FORDHAM,02 TWO FAMILY DWELLINGS,3156.0,50.0,2068 ANTHONY AVENUE,,10457.0,2.0,0.0,2.0,"2,597","2,088",1901.0,1.0,B2,"970,000",2020-06-02
1729,2.0,FORDHAM,02 TWO FAMILY DWELLINGS,3156.0,51.0,2070 ANTHONY AVENUE,,10457.0,2.0,0.0,2.0,"2,275","2,098",1901.0,1.0,B2,"875,000",2020-06-02
1733,2.0,FORDHAM,02 TWO FAMILY DWELLINGS,3184.0,34.0,2434 WALTON AVENUE,,10468.0,2.0,0.0,2.0,"1,988","2,226",1920.0,1.0,B2,"585,000",2020-01-09
1735,2.0,FORDHAM,02 TWO FAMILY DWELLINGS,3186.0,67.0,2271 WALTON AVENUE,,10453.0,2.0,0.0,2.0,"1,900","2,020",1901.0,1.0,B1,0,2020-04-02
1740,2.0,FORDHAM,03 THREE FAMILY DWELLINGS,3143.0,242.0,386 EAST 184 STREET,,10458.0,3.0,0.0,3.0,"1,852","2,985",1899.0,1.0,C0,0,2020-01-15
1741,2.0,FORDHAM,03 THREE FAMILY DWELLINGS,3144.0,41.0,2085 TIEBOUT AVENUE,,10457.0,3.0,0.0,3.0,"1,346","2,769",2005.0,1.0,C0,"780,000",2020-01-03
1742,2.0,FORDHAM,03 THREE FAMILY DWELLINGS,3149.0,74.0,2082 RYER AVENUE,,10457.0,3.0,0.0,3.0,"2,633","3,426",1901.0,1.0,C0,"575,000",2020-01-13
1743,2.0,FORDHAM,03 THREE FAMILY DWELLINGS,3172.0,73.0,2308 MORRIS AVENUE,,10468.0,3.0,0.0,3.0,"2,203","2,910",1901.0,1.0,C0,"680,000",2020-06-23
1744,2.0,FORDHAM,03 THREE FAMILY DWELLINGS,3184.0,35.0,2436 WALTON AVENUE,,10468.0,3.0,0.0,3.0,"1,981","2,226",1920.0,1.0,C0,"615,000",2020-01-09
1757,2.0,FORDHAM,07 RENTALS - WALKUP APARTMENTS,3275.0,57.0,2537 DECATUR AVENUE,,10458.0,27.0,3.0,30.0,"5,395","22,808",1913.0,2.0,C7,"6,850,000",2020-02-21
1758,2.0,FORDHAM,08 RENTALS - ELEVATOR APARTMENTS,3149.0,111.0,2081-2085 VALENTINE AVENUE,77,10457.0,78.0,4.0,82.0,"15,752","72,666",1929.0,2.0,D7,0,2020-01-24
1759,2.0,FORDHAM,08 RENTALS - ELEVATOR APARTMENTS,3156.0,62.0,N/A RYER AVENUE,,10457.0,66.0,0.0,66.0,"7,784","46,426",2019.0,2.0,D1,"3,882,750",2020-03-13
1760,2.0,FORDHAM,08 RENTALS - ELEVATOR APARTMENTS,3156.0,63.0,N/A RYER AVENUE,,10457.0,66.0,0.0,66.0,"7,780","44,537",2019.0,2.0,D1,"3,882,750",2020-03-13
1762,2.0,FORDHAM,08 RENTALS - ELEVATOR APARTMENTS,3163.0,11.0,2264 CRESTON AVENUE,59,10453.0,60.0,0.0,60.0,"13,700","57,660",1941.0,2.0,D1,0,2020-01-24
1763,2.0,FORDHAM,08 RENTALS - ELEVATOR APARTMENTS,3187.0,53.0,2315 WALTON AVENUE,,10468.0,45.0,0.0,45.0,"7,125","36,694",1938.0,2.0,D1,0,2020-03-17
1767,2.0,FORDHAM,10 COOPS - ELEVATOR APARTMENTS,3173.0,13.0,"2420 MORRIS AVENUE, 5G",,10468.0,,,,,,1955.0,2.0,D4,"192,000",2020-03-18
1771,2.0,FORDHAM,10 COOPS - ELEVATOR APARTMENTS,3175.0,10.0,"55 EAST 190TH STREET, 45",,10468.0,,,,,,1942.0,2.0,D4,"224,900",2020-06-02
1772,2.0,FORDHAM,10 COOPS - ELEVATOR APARTMENTS,3175.0,10.0,"55 EAST 190TH STREET, 37",,10468.0,,,,,,1942.0,2.0,D4,"120,000",2020-06-10
1774,2.0,FORDHAM,10 COOPS - ELEVATOR APARTMENTS,3175.0,10.0,"55 EAST 190TH STREET, 66",,10468.0,,,,,,1942.0,2.0,D4,"200,000",2020-04-28
1778,2.0,FORDHAM,22 STORE BUILDINGS,3026.0,50.0,2475 WEBSTER AVENUE,,10458.0,0.0,1.0,1.0,"4,678","4,500",1993.0,4.0,K1,0,2020-05-28
1779,2.0,FORDHAM,22 STORE BUILDINGS,3026.0,53.0,2471-2473 WEBSTER AVENUE,,10458.0,0.0,1.0,1.0,"5,600","5,000",1984.0,4.0,K1,0,2020-05-28
1781,2.0,FORDHAM,22 STORE BUILDINGS,3171.0,23.0,114 EAST 183 STREET,,10453.0,0.0,7.0,7.0,"3,149","3,149",1931.0,4.0,K1,0,2020-03-05
1784,2.0,FORDHAM,29 COMMERCIAL GARAGES,3143.0,179.0,305 EAST 182ND STREET,,10457.0,0.0,1.0,1.0,"22,300","30,789",1924.0,4.0,G1,"2,800,000",2020-03-12
1787,2.0,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY DWELLINGS,2519.0,15.0,1309 SHAKESPEARE AVE,,10452.0,1.0,0.0,1.0,"1,944","1,462",1899.0,1.0,A5,"455,000",2020-03-19
1790,2.0,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY DWELLINGS,2877.0,417.0,1701 POPHAM AVENUE,,10453.0,1.0,0.0,1.0,"4,335","3,331",1910.0,1.0,A1,0,2020-05-01
1791,2.0,HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY DWELLINGS,2880.0,208.0,1757 UNDERCLIFF AVENUE,,10453.0,1.0,0.0,1.0,"2,500","2,479",1920.0,1.0,A1,"582,500",2020-03-09
1792,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2506.0,116.0,1294 SHAKESPEARE AVENUE,,10452.0,2.0,0.0,2.0,"2,850","2,000",1899.0,1.0,B2,"755,000",2020-01-08
1797,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2512.0,23.0,130 W 165TH STREET,,10452.0,2.0,0.0,2.0,"1,297","1,540",1901.0,1.0,B2,0,2020-03-02
1799,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2514.0,54.0,1150 OGDEN AVENUE,,10452.0,2.0,1.0,3.0,"2,875","3,207",1929.0,1.0,S2,0,2020-03-14
1801,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2521.0,53.0,1320 PLIMPTON AVENUE,,10452.0,2.0,0.0,2.0,"2,125","2,688",1935.0,1.0,B1,0,2020-06-01
1802,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2521.0,53.0,1320 PLIMPTON AVENUE,,10452.0,2.0,0.0,2.0,"2,125","2,688",1935.0,1.0,B1,"733,129",2020-03-11
1805,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2521.0,72.0,1309 NELSON AVENUE,,10452.0,2.0,0.0,2.0,"2,530","2,090",1996.0,1.0,B1,"579,000",2020-04-28
1807,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2526.0,53.0,1077 SUMMIT AVENUE,,10452.0,2.0,0.0,2.0,"8,750","1,177",1901.0,1.0,B2,"950,000",2020-05-15
1811,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2868.0,45.0,1869 HARRISON AVENUE,,10453.0,2.0,0.0,2.0,"3,000","2,310",1920.0,1.0,B1,"775,000",2020-02-28
1813,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2868.0,272.0,143 MORTON PLACE,,10453.0,2.0,0.0,2.0,"2,750","2,094",1997.0,1.0,B1,"500,000",2020-03-10
1814,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2869.0,138.0,2021 GRAND AVENUE,,10453.0,2.0,0.0,2.0,"1,667","1,878",2006.0,1.0,B1,"438,500",2020-05-28
1817,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2874.0,54.0,1415 NELSON AVENUE,,10452.0,2.0,0.0,2.0,"2,408","3,250",1920.0,1.0,B1,"765,000",2020-01-31
1819,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2874.0,106.0,1531 NELSON AVENUE,,10452.0,2.0,0.0,2.0,"2,408","2,794",1920.0,1.0,B1,"530,000",2020-01-28
1820,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2877.0,197.0,1513 POPHAM AVENUE,,10453.0,2.0,0.0,2.0,"2,000","3,000",1993.0,1.0,B2,"635,000",2020-02-21
1822,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2877.0,317.0,1651 MONTGOMERY AVENUE,,10453.0,2.0,0.0,2.0,"2,000","3,000",1993.0,1.0,B2,0,2020-02-11
1824,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2877.0,395.0,1753 POPHAM AVENUE,,10453.0,2.0,0.0,2.0,"3,306","3,136",1920.0,1.0,B1,"275,000",2020-01-10
1825,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2877.0,456.0,1765 MONTGOMERY AVENUE,,10453.0,2.0,0.0,2.0,"2,900","2,184",2003.0,1.0,B1,0,2020-05-22
1826,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2877.0,558.0,1815 PALISADE PLACE,,10453.0,2.0,0.0,2.0,"5,000","2,114",1901.0,1.0,B2,"852,000",2020-03-25
1827,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2878.0,14.0,122 WEST 175 STREET,,10453.0,2.0,0.0,2.0,"2,200","3,000",1993.0,1.0,B2,"605,000",2020-02-14
1829,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2878.0,32.0,1654 MONTGOMERY AVENUE,,10453.0,2.0,0.0,2.0,"2,800","4,140",1920.0,1.0,B1,0,2020-01-02
1831,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2878.0,34.0,1658 MONTGOMERY AVENUE,,10453.0,2.0,0.0,2.0,"2,800","3,312",1920.0,1.0,B1,"714,000",2020-03-04
1832,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2879.0,4.0,1822 ANDREWS AVENUE SOUTH,,10453.0,2.0,0.0,2.0,"3,155","4,312",1920.0,1.0,B1,"735,000",2020-03-06
1834,2.0,HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY DWELLINGS,2879.0,23.0,1878 ANDREWS AVENUE,,10453.0,2.0,0.0,2.0,"3,599","3,832",1920.0,1.0,B1,0,2020-01-31
1839,2.0,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY DWELLINGS,2506.0,98.0,1287 EDWARD L GRANT HWY,,10452.0,3.0,0.0,3.0,"5,013","2,856",1901.0,1.0,C0,0,2020-01-24
1842,2.0,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY DWELLINGS,2512.0,37.0,1019 NELSON AVENUE,,10452.0,3.0,0.0,3.0,"1,565","2,610",1910.0,1.0,C0,"840,000",2020-03-03
1845,2.0,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY DWELLINGS,2521.0,79.0,131 WEST 169TH STREET,,10452.0,3.0,0.0,3.0,"1,410","3,264",2007.0,1.0,C0,0,2020-02-05
1854,2.0,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY DWELLINGS,2877.0,450.0,1772 POPHAM AVENUE,,10453.0,3.0,0.0,3.0,"2,700","4,097",1920.0,1.0,C0,0,2020-03-02
1856,2.0,HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY DWELLINGS,2879.0,262.0,1894 BILLINGSLEY TERRACE,,10453.0,3.0,0.0,3.0,"3,190","4,002",1920.0,1.0,C0,"999,000",2020-03-31
1857,2.0,HIGHBRIDGE/MORRIS HEIGHTS,05 TAX CLASS 1 VACANT LAND,2523.0,131.0,1022 UNIVERSITY AVENUE,,10452.0,0.0,0.0,0.0,"2,188",0,,1.0,V0,"140,000",2020-03-25
1858,2.0,HIGHBRIDGE/MORRIS HEIGHTS,05 TAX CLASS 1 VACANT LAND,2867.0,123.0,1760 GRAND AVE,,10453.0,0.0,0.0,0.0,"3,575",0,,1.0,V0,0,2020-03-18
1861,2.0,HIGHBRIDGE/MORRIS HEIGHTS,07 RENTALS - WALKUP APARTMENTS,2524.0,103.0,165 WEST 161 STREET,,10452.0,4.0,0.0,4.0,"1,570","3,930",2003.0,2.0,C3,"500,000",2020-06-24
1862,2.0,HIGHBRIDGE/MORRIS HEIGHTS,07 RENTALS - WALKUP APARTMENTS,2526.0,52.0,1080 UNIVERSITY AVENUE,,10452.0,6.0,0.0,6.0,"4,375","3,785",1941.0,2.0,C2,"4,350,000",2020-05-15
1863,2.0,HIGHBRIDGE/MORRIS HEIGHTS,07 RENTALS - WALKUP APARTMENTS,2526.0,78.0,1065 SUMMIT AVENUE,,10452.0,26.0,2.0,28.0,"6,543","40,500",1927.0,2.0,C7,"3,025,000",2020-01-28
1866,2.0,HIGHBRIDGE/MORRIS HEIGHTS,07 RENTALS - WALKUP APARTMENTS,2876.0,224.0,1641 NELSON AVENUE,,10453.0,4.0,0.0,4.0,"2,706","2,772",1930.0,2.0,C3,"800,000",2020-06-29
1871,2.0,HIGHBRIDGE/MORRIS HEIGHTS,08 RENTALS - ELEVATOR APARTMENTS,2879.0,253.0,1860 BILLINGSLEY TERRACE,,10453.0,59.0,0.0,59.0,"12,700","64,614",1927.0,2.0,D1,"8,166,600",2020-02-06
1872,2.0,HIGHBRIDGE/MORRIS HEIGHTS,09 COOPS - WALKUP APARTMENTS,2508.0,41.0,"1015 ANDERSON AVENUE, 1D",,10452.0,,,,,,1922.0,2.0,C6,"135,000",2020-04-17
1876,2.0,HIGHBRIDGE/MORRIS HEIGHTS,09 COOPS - WALKUP APARTMENTS,2511.0,27.0,"100 WEST 162ND ST, 5B",,10452.0,,,,,,1907.0,2.0,C6,"108,708",2020-02-14
1877,2.0,HIGHBRIDGE/MORRIS HEIGHTS,09 COOPS - WALKUP APARTMENTS,2516.0,26.0,"136 WEST 168TH STREET, 2E",,10452.0,,,,,,1926.0,2.0,C6,"31,275",2020-01-31
1884,2.0,HIGHBRIDGE/MORRIS HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2504.0,36.0,"941 JEROME AVENUE, 7C",,10452.0,,,,,,1927.0,2.0,D4,"180,000",2020-01-16
1886,2.0,HIGHBRIDGE/MORRIS HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2508.0,26.0,"1045 ANDERSON AVENUE, 2A",,10452.0,,,,,,1931.0,2.0,D4,"83,000",2020-06-05
1888,2.0,HIGHBRIDGE/MORRIS HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2510.0,50.0,"1175 ANDERSON AVENUE, 5C",,10452.0,,,,,,1929.0,2.0,D4,"125,000",2020-06-01
1889,2.0,HIGHBRIDGE/MORRIS HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2518.0,28.0,"132 W. 169 STREET, 5B",,10452.0,,,,,,1931.0,2.0,D4,"190,000",2020-06-26
1891,2.0,HIGHBRIDGE/MORRIS HEIGHTS,10 COOPS - ELEVATOR APARTMENTS,2867.0,47.0,"1711 DAVIDSON AVENUE, 2B",,10453.0,,,,,,1928.0,2.0,D4,"80,000",2020-01-28
1895,2.0,HIGHBRIDGE/MORRIS HEIGHTS,12 CONDOS - WALKUP APARTMENTS,2516.0,1007.0,"1211 NELSON AVENUE, 1211C",1211C,10452.0,1.0,,1.0,,,2005.0,2.0,R2,"200,000",2020-04-14
1896,2.0,HIGHBRIDGE/MORRIS HEIGHTS,12 CONDOS - WALKUP APARTMENTS,2516.0,1009.0,"1213 NELSON AVE, 1213A",1213A,10452.0,1.0,,1.0,,,2005.0,2.0,R2,"205,000",2020-06-16
1898,2.0,HIGHBRIDGE/MORRIS HEIGHTS,17 CONDO COOPS,2875.0,1001.0,"150 FEATHERBED LANE, 1001",,10452.0,,,,,,2009.0,2.0,R9,"235,000",2020-01-06
1899,2.0,HIGHBRIDGE/MORRIS HEIGHTS,22 STORE BUILDINGS,2536.0,13.0,1439 OGDEN AVENUE,,10452.0,0.0,5.0,5.0,"6,851","6,800",1931.0,4.0,K1,0,2020-04-29
1901,2.0,HIGHBRIDGE/MORRIS HEIGHTS,22 STORE BUILDINGS,2861.0,154.0,1785 JEROME AVENUE,,10453.0,0.0,1.0,1.0,"7,500","11,250",1925.0,4.0,K2,"3,800,000",2020-01-24
1904,2.0,HIGHBRIDGE/MORRIS HEIGHTS,29 COMMERCIAL GARAGES,2526.0,50.0,1076 UNIVERSITY AVENUE,,10452.0,0.0,0.0,0.0,"5,000",0,,4.0,G7,"4,350,000",2020-05-15
1905,2.0,HIGHBRIDGE/MORRIS HEIGHTS,29 COMMERCIAL GARAGES,2526.0,76.0,1073 SUMMIT AVENUE,,10452.0,0.0,0.0,0.0,"3,750",0,,4.0,G7,"4,350,000",2020-05-15
1914,2.0,HIGHBRIDGE/MORRIS HEIGHTS,41 TAX CLASS 4 - OTHER,2859.0,17.0,1520 INWOOD AVENUE,,10452.0,0.0,0.0,0.0,"2,690",0,,4.0,Z9,"600,000",2020-02-27
1915,2.0,HIGHBRIDGE/MORRIS HEIGHTS,41 TAX CLASS 4 - OTHER,2859.0,34.0,1560 INWOOD AVE,,10452.0,0.0,0.0,0.0,"3,250",0,,4.0,Z9,0,2020-02-06
1916,2.0,HIGHBRIDGE/MORRIS HEIGHTS,41 TAX CLASS 4 - OTHER,2859.0,35.0,1562 INWOOD AVE,,10452.0,0.0,0.0,0.0,"6,500",0,,4.0,Z9,0,2020-02-06
